2024-12-04 13:08:51,092 INFO    StreamThr :1502757 [internal.py:wandb_internal():85] W&B internal server running at pid: 1502757, started at: 2024-12-04 13:08:51.085996
2024-12-04 13:08:51,093 DEBUG   HandlerThread:1502757 [handler.py:handle_request():158] handle_request: status
2024-12-04 13:08:51,104 INFO    WriterThread:1502757 [datastore.py:open_for_write():87] open: /fs/nexus-scratch/sjxu/svd-temporal-controlnet/wandb/run-20241204_130850-qrn9kmb2/run-qrn9kmb2.wandb
2024-12-04 13:08:51,111 DEBUG   SenderThread:1502757 [sender.py:send():391] send: header
2024-12-04 13:08:51,260 DEBUG   SenderThread:1502757 [sender.py:send():391] send: run
2024-12-04 13:08:51,461 INFO    SenderThread:1502757 [dir_watcher.py:__init__():211] watching files in: /fs/nexus-scratch/sjxu/svd-temporal-controlnet/wandb/run-20241204_130850-qrn9kmb2/files
2024-12-04 13:08:51,461 INFO    SenderThread:1502757 [sender.py:_start_run_threads():1200] run started: qrn9kmb2 with start time 1733335731.100951
2024-12-04 13:08:51,485 DEBUG   HandlerThread:1502757 [handler.py:handle_request():158] handle_request: run_start
2024-12-04 13:08:51,508 DEBUG   HandlerThread:1502757 [system_info.py:__init__():26] System info init
2024-12-04 13:08:51,509 DEBUG   HandlerThread:1502757 [system_info.py:__init__():41] System info init done
2024-12-04 13:08:51,509 INFO    HandlerThread:1502757 [system_monitor.py:start():194] Starting system monitor
2024-12-04 13:08:51,509 INFO    SystemMonitor:1502757 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-12-04 13:08:51,509 INFO    HandlerThread:1502757 [system_monitor.py:probe():214] Collecting system info
2024-12-04 13:08:51,515 INFO    SystemMonitor:1502757 [interfaces.py:start():188] Started cpu monitoring
2024-12-04 13:08:51,516 INFO    SystemMonitor:1502757 [interfaces.py:start():188] Started disk monitoring
2024-12-04 13:08:51,517 INFO    SystemMonitor:1502757 [interfaces.py:start():188] Started gpu monitoring
2024-12-04 13:08:51,518 INFO    SystemMonitor:1502757 [interfaces.py:start():188] Started memory monitoring
2024-12-04 13:08:51,518 INFO    SystemMonitor:1502757 [interfaces.py:start():188] Started network monitoring
2024-12-04 13:08:51,534 DEBUG   HandlerThread:1502757 [system_info.py:probe():152] Probing system
2024-12-04 13:08:51,542 DEBUG   HandlerThread:1502757 [system_info.py:_probe_git():137] Probing git
2024-12-04 13:08:51,601 DEBUG   HandlerThread:1502757 [system_info.py:_probe_git():145] Probing git done
2024-12-04 13:08:51,601 DEBUG   HandlerThread:1502757 [system_info.py:probe():200] Probing system done
